,source,title,author,date,meter
12352,Glenn Beck,"""Every time somebody new gets the Ebola virus, it mutates.""", Jon Greenberg ," October 16, 2014",half-true
12353,Larry Pressler,"""All four on Mount Rushmore, they were all independents at one critical point in their career.""", Steve Contorno ," October 16, 2014",false
12354,Rick Scott,"Says Charlie Crist ""voted against minimum wage when he was in the Senate.""", Joshua Gillin ," October 16, 2014",false
12355,Chain email,"""2014 Federal Tax Refunds To Be Delayed Until October 2015.""", Nai Issa ," October 16, 2014",pants-fire
12356,Tom Cotton,"Under my platform, ""I will make no changes to the current (Medicare) system for current retirees and anyone approaching retirement.""", Louis Jacobson ," October 16, 2014",false
12357,Mark Shields,"Republicans ""made it easier to buy a gun"" in states they won in 2010.", Jon Greenberg ," October 16, 2014",barely-true
12358,Americans for Prosperity,"""Under the administration of Gov. Scott Walker, northern Wisconsin’s mining economy is moving forward and more people are getting good, high-paying jobs.""", James B. Nelson ," October 16, 2014",barely-true
12359,Mary Burke,"Under Scott Walker's ""tax plan, the average Wisconsin taxpayer got just $11 a month. But corporations got $610 million in tax cuts. Millionaires got at least $1,400 per year.""", Tom Kertscher ," October 16, 2014",half-true
12360,Charlie Crist,Says Jeb Bush -- not Charlie Crist -- signed legislation that let Duke Energy collect money for nuclear projects., Joshua Gillin ," October 15, 2014",true
12361,Rick Scott,"""3,000 teachers lost their jobs when (Crist) was governor.""", Lauren Carroll ," October 15, 2014",barely-true
12362,Charlie Crist,"If Florida expanded Medicaid, ""some studies indicate it would create about 120,000 jobs.""", Amy Sherman ," October 15, 2014",half-true
12363,Wendy Davis,"""Weeks after accepting a quarter-million-dollar campaign contribution"" from a hospital board chairman, Greg Abbott went to court against victims of a drug-taking neurosurgeon.", W. Gardner Selby ," October 15, 2014",mostly-true
12364,Joni Ernst,"""Iowa has the fourth fastest-growing personal income in the United States, while nationally, the real wage has decreased over the past eight years that Congressman (Bruce) Braley has been there by 2.7 percent.""", Louis Jacobson ," October 15, 2014",barely-true
12365,Republican Party of Wisconsin,"""As district attorney, Susan Happ took $180,000"" in a ""shady"" land deal ""from a man charged with multiple felony counts of sexual assault before she offered him a deferred prosecution.""", Dave Umhoefer ," October 15, 2014",false
12366,David Perdue,Four million women have fallen into poverty in the last six years., Nancy Badertscher ," October 15, 2014",barely-true
12367,John Cornyn,"My office sends federal ""money back every year.""", W. Gardner Selby ," October 14, 2014",true
12368,No Tax For Tracks,"The Greenlight Pinellas 1-cent sales tax ""is permanent, we never get to vote on this again.""", Joshua Gillin ," October 14, 2014",half-true
12369,Alison Lundergan Grimes,"Raising the minimum wage to $10.10 an hour, ""would help lift over a million Americans out of poverty.""", Steve Contorno ," October 14, 2014",mostly-true
12370,Mitch McConnell,"Raising the minimum wage to $10.10 an hour ""will destroy between half a million and one million jobs.""", Steve Contorno ," October 14, 2014",mostly-true
12371,Charlie Crist,"Says Rick Scott changed his promise from 700,000 jobs created ""on top of what normal growth would be"" to just 700,000 jobs.", Angie Drobnic Holan ," October 14, 2014",true
12372,Donald Trump,"Says President Barack Obama’s recent New York fundraising trip ""cost between $25 million and $50 million.""", Jon Greenberg ," October 14, 2014",pants-fire
12373,Debbie Wasserman Schultz,The U.S. Supreme Court struck down Wisconsin's photo ID election law, Dave Umhoefer ," October 14, 2014",false
12374,American LeadHERship PAC,"""As mayor, [Allan Fung] raised taxes three times.""", C. Eugene Emery Jr. ," October 14, 2014",mostly-true
12375,Michelle Nunn,The United States was not one of 16 countries where David Perdue said in his Pillowtex deposition that he created jobs., April Hunt ," October 14, 2014",barely-true
12376,Republican Party of Florida,"Says Charlie Crist ""is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.""", Amy Sherman ," October 13, 2014",false
12377,Mark Warner,Says PolitiFact has ruled that Ed Gillespie’s ads are false and misleading., Nancy Madsen ," October 13, 2014",half-true
12378,Brad Schimel,"""An overwhelming majority of Republican and Democrat law enforcement leaders have endorsed Brad Schimel.""", Dave Umhoefer ," October 13, 2014",half-true
12379,Michelle Nunn,David Perdue did not support the 2014 farm bill that U.S. Sens. Isakson and Chambliss did., April Hunt ," October 13, 2014",mostly-true
12380,John McCain,"""We were told there would never be a case of Ebola in the United States.""", Lauren Carroll ," October 12, 2014",false
12381,Tony Perkins,"""We know from the social science that children do best with a mom and a dad.""", Jon Greenberg ," October 12, 2014",false
12382,Michelle Obama,"""The unemployment rate for young people is down from a 10.6 percent high in 2009 to 2.6 percent today.""", Tom Kertscher ," October 12, 2014",false
12383,Allan Fung,"In the 38 Studios deal, ""Wall Street investors took a risk, and went bust.""", C. Eugene Emery Jr. ," October 12, 2014",false
12384,Rick Scott,"""The CBO says if we raise the minimum wage the way Charlie (Crist) wants to do it, it would lose 500,000 jobs.""", Katie Sanders ," October 10, 2014",half-true
12385,Charlie Crist,"If Florida had not taken the stimulus, it ""would have led to the firing of 20,000 teachers.""", Amy Sherman ," October 10, 2014",mostly-true
12386,Rick Scott,"""832,000 people lost their job while (Charlie Crist was) governor.""", Joshua Gillin ," October 10, 2014",half-true
12387,Jeanne Shaheen,"""In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.""", Jonathan Van Fleet ," October 10, 2014",mostly-true
12388,Duncan Hunter,"""At least 10 ISIS fighters have been caught coming across the Mexican border in Texas"" and there are ""dozens more that did not get caught by the Border Patrol.""", Dylan Baddour ," October 10, 2014",pants-fire
12389,Sarah Silverman,"""Every year the average woman loses around $11,000 to the wage gap,"" which amounts to ""a $500,000 vagina tax"" over her working career.", Katie Sanders ," October 10, 2014",half-true
12390,Jeanne Shaheen,Says Scott Brown co-sponsored legislation to let employers deny women coverage for mammograms., Louis Jacobson ," October 10, 2014",barely-true
12391,Jeanne Shaheen,"Says Scott Brown ""co-sponsored legislation to let employers deny women coverage for birth control.""", Louis Jacobson ," October 10, 2014",true
12392,David Perdue,Michelle Nunn ranks agriculture issues as the 18th most important items facing Georgia., April Hunt ," October 10, 2014",barely-true
12393,Pat Roberts,"""20,000 Kansans lost their health insurance because of (Obamacare).""", Lauren Carroll ," October 9, 2014",false
12394,Nik Kovac,"Milwaukee police and firefighters ""are routinely getting 4 percent raises annually while everybody else is either getting zero or one percent raises.""", Dave Umhoefer ," October 9, 2014",false
12395,Barack Obama,"""The states that have raised the minimum wage (this year) have had faster job growth than the states that haven’t raised the minimum wage.""", Louis Jacobson ," October 9, 2014",half-true
12396,Scott Walker,"""In the last year, Wisconsin ranked third in Midwest job growth.""", Dave Umhoefer ," October 9, 2014",false
12397,Dan Patrick,"Leticia Van de Putte ""opposed putting National Guard troops on the border, would send millions to Central American governments instead and wrote the law giving in-state tuition to illegal immigrants.""", W. Gardner Selby ," October 8, 2014",half-true
12398,Morgan Brittany,"""According to a government supplier of emergency products, the Disaster Assistance Response Team was told to be prepared to be activated in the month of October for an outbreak of Ebola.""", Jon Greenberg ," October 8, 2014",pants-fire
12399,Thom Tillis,"In North Carolina, ""now we're near the national average"" for unemployment.", Louis Jacobson ," October 8, 2014",half-true
12400,Alison Lundergan Grimes,"""The only candidate pocketing big money from people who want to destroy coal is Mitch McConnell.""", Steve Contorno ," October 8, 2014",false
12401,Bill O'Reilly,"Muslim nations did not ""call out"" the people who celebrated the 9/11 attacks.", Jon Greenberg ," October 8, 2014",half-true
12402,Barack Obama,"The cost of ""health care is now the single-biggest factor driving down"" the federal budget deficit.", Lauren Carroll ," October 8, 2014",mostly-true
12403,Democratic Congressional Campaign Committee,"Says U.S. Rep. Steve Southerland ""voted himself health care for life.""", Joshua Gillin ," October 8, 2014",pants-fire
12404,Kay Hagan,"""The Common Core was not put together by the Department of Education in Washington. It was put together by governors and by states.""", Bill Adair ," October 8, 2014",mostly-true
12405,Mary Burke,Job creation has gotten worse each year that Scott Walker has been governor., James B. Nelson ," October 8, 2014",false
12406,Nathan Deal,The state’s overall revenues only returned this year to 2007 levels., Nancy Badertscher ," October 8, 2014",true
12407,Thom Tillis,"By voting for Obamacare, Sen. Kay Hagan ""voted to kill the equivalent of 2.5 million jobs.""", Louis Jacobson ," October 7, 2014",barely-true
12408,Kay Hagan,"Says Thom Tillis ""has cut $500 million from public education.""", Lauren Carroll ," October 7, 2014",half-true
12409,Lars Larson,"""TSA WILL ACCEPT DRIVERS PRIV CARDS FOR ID AT THE AIRPORT""", Dana Tims ," October 7, 2014",true
12410,Ben Affleck,"The Islamic State is so small it ""couldn't fill a Double A ballpark in Charleston, W. Va.""", Katie Sanders ," October 7, 2014",false
12411,Dean Obeidallah,"Saudi Arabia is ""the only Muslim country out of 47 Muslim-majority countries"" where women cannot get licenses to drive.", Jon Greenberg ," October 7, 2014",true
12412,Gloria Steinem,"More women were killed by their husbands or boyfriends since Sept. 11 than ""all the Americans who were killed by 9/11 or in Afghanistan and Iraq.""", Katie Sanders ," October 7, 2014",true
12413,Charlie Crist,"Says Rick Scott signed ""laws requiring mandatory ultrasounds and restricting access to abortion even in cases of rape or incest.""", Amy Sherman ," October 7, 2014",mostly-true
12414,Kay Hagan,"Says Thom Tillis ""refuses to say what we should do to combat ISIS.""", Bill Adair ," October 7, 2014",mostly-true
12415,David Perdue,"Says Michelle Nunn is ""for amnesty.""", April Hunt ," October 7, 2014",barely-true
12416,Dick Cheney,"""We have four combat-ready brigades out of 40 in the U.S. Army.""", Jon Greenberg ," October 6, 2014",barely-true
12417,Terri Lynn Land,On support for the auto bailouts., Steve Contorno ," October 6, 2014",full-flop
12418,Barack Obama,"""When I took office, the deficit was nearly 10 percent of our economy. Today, it's approaching 3 percent.""", Louis Jacobson ," October 6, 2014",half-true
12419,National Rifle Association,"Says Mark Warner ""has supported restrictions on veterans’ second amendment rights.""", Nancy Madsen ," October 6, 2014",mostly-true
12420,Republican Party of Florida,"Under Rick Scott, there has been a ""historic $20 billion in funds for education.""", Amy Sherman ," October 6, 2014",half-true
12421,Jorge Elorza,"""In the last six years of Cianci’s administration violent crime was down in the United States. It was down in the region. It was down in Rhode Island. But it was up in Providence.""", Alex Kuffner ," October 6, 2014",mostly-true
12422,Democratic Party of Virginia,"""Hospitals have already begun layoffs, a direct result of Republican inaction"" on Medicaid expansion.", Nancy Madsen ," October 6, 2014",half-true
12423,Lindsey Graham,"Under sequestration, the military was cut ""down to the smallest Army since 1940, the smallest Navy since 1915.""", Lauren Carroll ," October 5, 2014",half-true
12424,George Will,"""The last time there was a sustained surge of confidence in government's competence was under Ronald Reagan.""", Jon Greenberg ," October 5, 2014",false
12425,Jorge Elorza,"""We have a retiree that is collecting a $17,000 paycheck a month . . . tax free.""", C. Eugene Emery Jr. ," October 5, 2014",true
12426,Americans for Responsible Solutions,"""Most people in New Hampshire want to raise the minimum wage. (State Rep. Marilinda) Garcia opposes it.""", Al McKeon ," October 3, 2014",mostly-true
12427,Americans for Responsible Solutions,"Republican House candidate Marilinda Garcia ""even opposes closing the loophole that allows dangerous criminals to get a gun without a background check.""", Al McKeon ," October 3, 2014",mostly-true
12428,Greg Abbott,"""I’ve been involved in prosecuting a terrorist member of ISIS.""", Dylan Baddour ," October 3, 2014",false
12429,Republican Party of Florida,"Judithanne McLauchlan ""was part of a group that supports imposing a state income tax on Floridians.""", Joshua Gillin ," October 3, 2014",barely-true
12430,Mary Burke,"New jobs numbers are in, and Wisconsin has ""fallen to dead last in Midwest job growth.""", James B. Nelson ," October 3, 2014",false
12431,Republican Governors Association,"Mary ""Burke’s record: 130,000 fewer jobs.""", Dave Umhoefer ," October 3, 2014",false
12432,Reza Aslan,"Says female genital mutilation is ""a central African problem,"" not an Islamic problem, as Bill Maher suggested.", Katie Sanders ," October 2, 2014",mostly-true
12433,Allen West,"Says President Barack Obama ""ordered our military to enlist illegal aliens.""", Amy Sherman ," October 2, 2014",barely-true
12434,Thom Tillis,"Says Sen. Kay Hagan ""has missed half of the (Senate Armed Services) Committee's hearings in 2014.""", Steve Contorno ," October 2, 2014",mostly-true
12435,Leticia Van de Putte,"Dan Patrick said that if women ""get paid less than a man for the same job, that that’s not a problem.""", W. Gardner Selby ," October 2, 2014",half-true
12436,Wisconsin Professional Police Association,"Data on violent crime shows Wisconsin ""has become less safe than it was when Scott Walker took office.""", Tom Kertscher ," October 2, 2014",barely-true
12437,Dan Patrick,"Leticia Van de Putte ""voted to give illegal immigrants in this country free health care--not emergency health care but total free health care.""", W. Gardner Selby ," October 2, 2014",false
12438,Joni Ernst,"Says Bruce Braley ""threatened to sue a neighbor over chickens that came onto (his) property.""", Lauren Carroll ," October 2, 2014",false
12439,Leticia Van de Putte,"The state-hired company that evaluates state-mandated student exams ""goes on Craigslist to get examiners to read our students’ essays.""", W. Gardner Selby ," October 2, 2014",barely-true
12440,Mary Burke,"""We have 41,000 people right now on the waitlist for financial-based assistance for our tech colleges and universities,"" most of them for tech schools.", Dave Umhoefer ," October 2, 2014",mostly-true
12441,"Vincent ""Buddy"" Cianci","""[When I was mayor] Providence was one of the five renaissance cities of America, according to USA Today in those days. Money magazine said it was the fifth best city to live in in America. In addition to that, All Cities Almanac said in 1994, I believe, that it was the safest city in America.""", Alex Kuffner ," October 2, 2014",true
12442,Georgians Together,"David Perdue ""opposes laws that provide equal pay protections for women.""", Nancy Badertscher ," October 2, 2014",barely-true
12443,Bruce Braley,"""I recently had the opportunity to vote to give the president limited authority to begin strikes against terrorists in Iraq and Syria.""", Louis Jacobson ," October 1, 2014",false
12444,William Benson Huber,"The non-profit group Feeding America is lying when it claims ""that one in five kids is fighting starvation daily"" in the United States.", Jon Greenberg ," October 1, 2014",pants-fire
12445,National Rifle Association,"""Mary Landrieu voted to take away your gun rights.""", Steve Contorno ," October 1, 2014",pants-fire
12446,Gwen Graham,"Says U.S. Rep. Steve Southerland ""voted to keep the shutdown going.""", Joshua Gillin ," October 1, 2014",true
12447,Paul Ryan,"After the 2012 redistricting, Wisconsin has competitive congressional districts.", James B. Nelson ," October 1, 2014",barely-true
12448,Jorge Elorza,"""We have a goal of 10 percent of [City of Providence] contracts going to women and minority businesses. In reality, less than 1 percent of contracts go to women and minority businesses.""", Alex Kuffner ," October 1, 2014",barely-true
12449,Georgians Together,"David Perdue ""proposes rolling back the clock on women’s health care.""", Nancy Badertscher ," October 1, 2014",half-true
12450,Charlie Crist,On the economic stimulus., Angie Drobnic Holan ," September 30, 2014",half-flip
12451,Greg Abbott,"A 2011 measure passed into law with Wendy Davis’ support ""removes from the attorney general the ability to settle lawsuits just like"" the school funding case.", W. Gardner Selby ," September 30, 2014",barely-true
12452,Charlie Crist,On support for the Affordable Care Act (Obamacare)., Joshua Gillin ," September 30, 2014",full-flop
12453,Joni Ernst,"Says personhood legislation she sponsored would not have restricted access to reproductive services and was ""simply a statement that I support life.""", Lauren Carroll ," September 30, 2014",half-true
12454,Joni Ernst,"""94 percent of those that are employed by the Department of Education at the federal level were deemed by the department as nonessential employees.""", Louis Jacobson ," September 30, 2014",barely-true
12455,Jane Harman,"The Justice Department’s Fast and Furious gun-walking program ""started in the Bush administration.""", Katie Sanders ," September 30, 2014",false
12456,One Wisconsin Now,"Scott Walker was elected governor on a promise not to take campaign contributions ""from the date of his inauguration until the signing of the state budget,"" but broke it by taking nearly $5.6 million.", Tom Kertscher ," September 29, 2014",false
12457,Mark Warner,On opposing legislation that would take away existing health care plans., Warren Fiske ," September 29, 2014",half-flip
12458,Republican Party of Florida,Health insurance costs for Floridians are up 30 percent or more., Amy Sherman ," September 29, 2014",barely-true
12459,Emma Watson,"Based on current trends, ""15.5 million girls will be married in the next 16 years as children.""", Jon Greenberg ," September 29, 2014",half-true
12460,Mary Burke,"Under Scott Walker, ""right now, we’re 46th in the country in terms of new businesses started.""", Tom Kertscher ," September 29, 2014",mostly-true
12461,Jason Carter,"In the last 10 years, Georgia’s middle class income has dropped $6,500.", Nancy Badertscher ," September 29, 2014",true
12462,Laura Ingraham,"This Congress ""adjourned earliest of any time in congressional history before an election.""", Jon Greenberg ," September 28, 2014",false
12463,LZ Granderson,"Says President Barack Obama has launched ""twice as many strikes (on) countries that are predominantly Muslim"" than President George W. Bush.", Lauren Carroll ," September 28, 2014",mostly-true
12464,"Vincent ""Buddy"" Cianci","""In 2001 and '02 . . . we had the pension system funded at (the) 100% level in that year, and we did for two years at that point.""", C. Eugene Emery Jr. ," September 28, 2014",false
12465,Ed Gillespie,"Says Mark Warner told PolitiFact National's ""Lie of the Year"" in 2013.", Warren Fiske ," September 28, 2014",false
12466,Facebook posts,"Countries with a higher minimum wage than the United States’ $7.25 an hour include Denmark at $21, Australia at $15.81, Germany at $11 and France at $12.35.", Louis Jacobson ," September 26, 2014",half-true
12467,Scott Walker,"""Thanks to our reforms, the average family will have an extra $322 to spend.""", Dave Umhoefer ," September 26, 2014",mostly-true
12468,David Perdue,"""Michelle Nunn’s own plan says she funded organizations linked to terrorists.""", April Hunt ," September 26, 2014",pants-fire
12469,Dan Sullivan,"""Sen. Mark Begich cast the deciding vote in favor of President Obama’s authority to issue executive amnesty to illegal aliens.""", Lauren Carroll ," September 25, 2014",false
12470,Ralph Peters,"Says President Barack Obama attacked potential terrorist targets in Syria in the middle of the night ""to minimize terrorist casualties.""", Katie Sanders ," September 25, 2014",barely-true
12471,Wendy Davis,"""Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.""", W. Gardner Selby ," September 25, 2014",pants-fire
12472,Bill Cassidy,Says Mary Landrieu voted to fund benefits for illegal immigrants ahead of veterans., Steve Contorno ," September 25, 2014",pants-fire
12473,Wendy Davis,"Greg Abbott ""has campaigned with a sexual predator who has bragged about having sex with underage girls.""", W. Gardner Selby ," September 25, 2014",half-true
12474,Charlie Crist,"Says Rick Scott ""pled the Fifth 75 times to avoid jail for Medicare fraud.""", Joshua Gillin ," September 25, 2014",half-true
12475,Jay Wiley,"Austin has ""over 1,000 city employees that make six-figure salaries.""", W. Gardner Selby ," September 25, 2014",mostly-true
12476,Ryan Lizza,"""Countries bombed: Obama 7, Bush 4""", Jon Greenberg ," September 25, 2014",true
12477,Mary Burke,"Says Scott Walker cut ""taxes for the wealthiest"" and raised taxes ""on 140,000 Wisconsin families.""", Tom Kertscher ," September 25, 2014",half-true
12478,Catherine Taylor,"""Every time [the people from Newport Tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent.""", Alex Kuffner ," September 25, 2014",true
12479,Rachel Maddow,"""Not even old Gen. Eisenhower … saluted military personnel"" as president.", Aaron Sharockman ," September 24, 2014",barely-true
12480,Facebook posts,"Congress includes 36 people accused of spousal abuse, 84 arrested for drunk driving in the past year, 71 with terrible credit and more.", Lauren Carroll ," September 24, 2014",pants-fire
12481,Carlos Curbelo,"Social Security and Medicare are ""a Ponzi scheme.""", Amy Sherman ," September 24, 2014",false
12482,Greg Abbott,"""The FBI is involved in an investigation about people in the Rio Grande Valley who are using cocaine to buy votes.""", W. Gardner Selby ," September 24, 2014",mostly-true
12483,Wendy Davis,"Greg Abbott ""heads up a party whose platform calls for the repeal of the Voting Rights Act.""", W. Gardner Selby ," September 24, 2014",mostly-true
12484,Republican Governors Association,"Jason Carter ""actually opposed more funding for education in the Senate.""", Nancy Badertscher ," September 24, 2014",mostly-true
12485,Peter King,"""In 2011, (the Islamic State) attempted to attack Fort Knox.""", Steve Contorno ," September 23, 2014",false
12486,Bloggers,"Was Martha Kanter ""dispatched to Corvallis with $17 million in stimulus money"" to save Craig Robinson’s job?", Dana Tims ," September 23, 2014",pants-fire
12487,Scott Walker,"Says opponent Mary Burke says she ""supports Obamacare unequivocally and wants to expand it.""", Tom Kertscher ," September 23, 2014",half-true
12488,Brit Hume,"Says President Barack Obama is ""sending a much larger (force) "" to deal with Ebola ""than ISIS is getting.""", Jon Greenberg ," September 23, 2014",false
12489,Steve Southerland,"Says Gwen Graham ""was a Washington lobbyist.""", Joshua Gillin ," September 23, 2014",barely-true
12490,Jason Carter,Georgia can substantially increase its funding for education by going after $2.5 billion in uncollected taxes., Nick Fouriezos ," September 23, 2014",half-true
12491,Charlie Crist,"Says Rick Scott cut education by over a billion dollars, meaning thousands of teachers ""lost their jobs"" and ""class sizes went up.""", Amy Sherman ," September 22, 2014",barely-true
12492,Dan Sullivan,"Says Sen. Mark Begich is ineffective because he has only ""passed one bill, the naming of a building.""", Lauren Carroll ," September 22, 2014",half-true
12493,Rick Scott,"A Scott Rothstein victim says that he was ""swindled"" by Charlie Crist.", Amy Sherman ," September 22, 2014",pants-fire
12494,Bob Goodlatte,"The U.S. Constitution is ""the oldest written constitution still in use today"" among nations.", Sean Gorman ," September 22, 2014",true
12495,Jeff Amason,"""The state budget has increased almost $800 million a year in each of the last two years.""", Nancy Badertscher ," September 22, 2014",true
12496,Katrina vanden Heuvel,"Americans now ""support strikes (against ISIS) but the support for ground troops is not there. The support is very thin.""", Steve Contorno ," September 21, 2014",half-true
12497,George Will,"""Last week's three most-viewed television programs were Sunday Night Football, Thursday Night Football and Monday Night Football.""", Lauren Carroll ," September 21, 2014",true
12498,Todd Staples,"""To deprive"" underprivileged children ""of a meat-based protein during school lunch is most likely depriving them of their only source of protein for the day.""", Dylan Baddour ," September 21, 2014",pants-fire
12499,"Vincent ""Buddy"" Cianci","""When I left office, there was a $7-million surplus in Providence,"" but in 2008, the city had a $110-million deficit.", Alex Kuffner ," September 21, 2014",half-true
12500,Jeanne Shaheen,"In 2012, ""Wall Street"" gave Scott Brown ""more campaign contributions than any other candidate -- $5.3 million.""", Louis Jacobson ," September 19, 2014",mostly-true
12501,Tom Cotton,"Says ""President Obama hijacked the farm bill (and) turned it into a food stamp bill.""", Lauren Carroll ," September 19, 2014",pants-fire
12502,Bloggers,"""The U.S. State Department has ordered 160,000 Hazmat suits for Ebola, prompting concerns that the federal government is anticipating the rapid spread"" of the virus.", Derek Tsang ," September 19, 2014",half-true
12503,Leticia Van de Putte,"""Our men and women of the Guard have been forced to contact food banks to feed themselves.""", W. Gardner Selby ," September 19, 2014",false
12504,American Crossroads,"Says Tom Steyer is a ""California billionaire who stands to profit by blocking Keystone"" and ""is spending big to help"" Bruce Braley.", Steve Contorno ," September 19, 2014",barely-true
12505,Mary Burke,"Says Scott Walker's jobs agency gives financial incentives that lead ""Wisconsin companies to look at shipping jobs elsewhere. ... A company got $4.6 million in taxpayer money and actually reduced its jobs by 300 people.""", Tom Kertscher ," September 19, 2014",barely-true
12506,Michelle Nunn,"Michelle Nunn ""spent most of her childhood"" in Perry, Ga.", April Hunt ," September 19, 2014",barely-true
12507,Mika Brzezinski,"""Super Bowl Sunday has the highest rate of domestic violence.""", Katie Sanders ," September 18, 2014",pants-fire
12508,Media Matters,Says Fox News gave Republican senators twice the air time as Democrats during a hearing about the Islamic State., Jon Greenberg ," September 18, 2014",true
12509,Bloggers,"""Three of five detainees swapped (for Bowe Bergdahl) are now ISIS leaders.""", Louis Jacobson ," September 18, 2014",pants-fire
12510,Julie Pace,"The Obama administration is using as its ""legal justification for these airstrikes (on the Islamic State), an authorization for military force that the president himself has called for repeal of.""", Derek Tsang ," September 18, 2014",mostly-true
12511,Lois Frankel,"Recently Rick Scott ""closed 30 women’s health care centers across the state.""", Amy Sherman ," September 18, 2014",pants-fire
12512,Facebook posts,"""There is no state in the U.S. where a 40-hour minimum wage work week is enough to afford a two-bedroom apartment.""", Steve Contorno ," September 18, 2014",mostly-true
12513,Donald Trump,"""Much more than 50 percent of parents out there are spankers.""", Jon Greenberg ," September 17, 2014",mostly-true
12514,Trent Franks,"""It is true that we know that ISIS is present in Ciudad Juarez (Mexico)""", Lauren Carroll ," September 17, 2014",barely-true
12515,Steve Adler,"""57% of the jobs created"" in Austin ""from 2009 to 2013 do not pay families a living wage.""", W. Gardner Selby ," September 17, 2014",mostly-true
12516,Scott Walker,"Since I took office, ""Wisconsin ranks 11th in the nation in total business establishment growth compared to 47th in the years Mary Burke was Commerce secretary.""", Dave Umhoefer ," September 17, 2014",true
12517,Senate Majority PAC,"""New Hampshire has lost more jobs to China than any other state.""", Louis Jacobson ," September 16, 2014",half-true
12518,James Brown,"""More than three women per day lose their lives at the hands of their partners.""", Katie Sanders ," September 16, 2014",true
12519,Pam Bondi,"Of the 98 top oxycodone-dispensing doctors who used to live in Florida, ""today, there are none.""", Joshua Gillin ," September 16, 2014",mostly-true
12520,Joe Garcia,"Says U.S. House candidate Carlos Curbelo ""supported raising flood insurance rates.""", Amy Sherman ," September 16, 2014",false
12521,Amy Klobuchar,"Children who witness domestic violence are ""twice as likely to commit it themselves.""", Derek Tsang ," September 16, 2014",mostly-true
12522,Rand Paul,"""Income inequality is worse in towns run by Democrat mayors than in towns run by Republican mayors.""", Louis Jacobson ," September 16, 2014",half-true
12523,Wendy Davis,"Greg Abbott did ""nothing"" to pursue reports of the sexual abuse of boys at a West Texas state-run school.", W. Gardner Selby ," September 16, 2014",barely-true
12524,Rhue Reis,"""You have 200,000 to 400,000 military veterans on the street in this country on any given day.""", C. Eugene Emery Jr. ," September 16, 2014",false
12525,Chris Matthews,"Says Dick Cheney ""de-Ba’athisized the Iraqi government and created ISIS.""", Jon Greenberg ," September 15, 2014",barely-true
12526,Dan Patrick,"""As chair of the Senate Education Committee, I led the charge to restore most of the education cuts from last session.""", W. Gardner Selby ," September 15, 2014",pants-fire
12527,National Republican Congressional Committee,"Says ""John Barrow voted with Obama 85 percent of the time.""", Louis Jacobson ," September 15, 2014",barely-true
12528,National Republican Congressional Committee,"Says ""Nick Rahall voted with Obama 94 percent of the time.""", Louis Jacobson ," September 15, 2014",half-true
12529,Connie Stokes,"Women still do not get paid as much as men, even ""for the same work, period.""", April Hunt ," September 15, 2014",half-true
12530,Mike Wise,"Says NFL Commissioner Roger Goodell interviewed domestic abuse victim Janay Rice with Ray Rice present and for ""every domestic violence agency, every law enforcement agency, that’s a no-no.""", Katie Sanders ," September 14, 2014",mostly-true
12531,Michael Hayden,"""The president referred to the Syrian opposition just a few months ago as pharmacists and doctors, and so on.""", Steve Contorno ," September 14, 2014",true
12532,Robert Sarvis,"""Over 40 of our 100 (House of) Delegates seats go uncontested every year, and over 40 percent of our state senate seats go uncontested every year.""", Sean Gorman ," September 14, 2014",mostly-true
12533,Mark Harris,"Says Glenn Grothman pushed through state tax credits that when phased in, ""someone that owns a factory that produces millions in income"" will pay ""less tax than their nephew would if he worked full time at Taco Bell for minimum wage.""", Tom Kertscher ," September 14, 2014",mostly-true
12534,Angel Taveras,"Says Gina Raimondo's ""venture capital firm secured a secret no-bid contract funded by taxpayers.""", C. Eugene Emery Jr. ," September 14, 2014",barely-true
12535,Alison Lundergan Grimes,"Says Mitch McConnell voted ""three times for corporate tax breaks that send Kentucky jobs overseas.""", Lauren Carroll ," September 12, 2014",barely-true
12536,Shemia Fagan,"""I sponsored the new Buy American law""", Dana Tims ," September 12, 2014",false
12537,Dan Patrick,"More people are apprehended after illegally crossing the U.S.-Mexico border a week ""than are born in Texas each week.""", Philip Jankowski ," September 12, 2014",true
12538,John McCain,"Says President Obama ""has never made a statement ... that he wanted a residual force left (in Iraq).""", Lauren Carroll ," September 12, 2014",mostly-true
12539,Matt Mackowiak,"In Texas public schools, ""we spend an average of $12,000 per pupil per year.""", W. Gardner Selby ," September 12, 2014",barely-true
12540,Maria Cardona,"""The Republican Party has the worst reputation in American polling of any political party in history.""", Derek Tsang ," September 12, 2014",half-true
12541,"Vincent ""Buddy"" Cianci","Jorge Elorza ""wants to impose a municipal income tax.""", C. Eugene Emery Jr. ," September 12, 2014",false
12542,Ending Spending Action Fund,Says Michelle Nunn has acknowledged allowing a convicted felon to hold a fundraiser for her., Nancy Badertscher ," September 12, 2014",mostly-true
12543,John McCain,"""(Obama's) entire national security team, including his secretary of state, said we want to arm and train and equip (Syrian rebel forces), and he made the unilateral decision to turn them down.""", Steve Contorno ," September 11, 2014",mostly-true
